Name,Street
"«Бескудниково», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«Баскетбольная школа», Дубнинская улица (от центра)",Дубнинская улица
"«Д/к Юность», Дубнинская улица (от центра)",Дубнинская улица
"«Мкр. Дубки», Дубнинская улица (от центра)",Дубнинская улица
"«Ин-т Стали», Дубнинская улица (от центра)",Дубнинская улица
"«Керамический пр.», Дубнинская улица (от центра)",Дубнинская улица
"«Платф. Лианозово (выс.)», Керамический проезд (от центра)",Керамический проезд
"«Ст. Ховрино (пос.)», Деповская улица (в центр)",Деповская улица
"«Весенняя ул.», Ангарская улица (от центра)",Ангарская улица
"«Мкр. Западное Дегунино», Ангарская улица (от центра)",Ангарская улица
"«Ангарская ул.», Коровинское шоссе (от центра)",Коровинское шоссе
"«Колледж № 7», Клязьминская улица (от центра)",Клязьминская улица
"«Ин-т Микрохирургии глаза», Коровинское шоссе (в центр)",Коровинское шоссе
"«Наб. Тараса Шевченко», набережная Тараса Шевченко (от центра)",набережная Тараса Шевченко
"«ВКНЦ», 3-я Черепковская улица (в центр)",3-я Черепковская улица
"«Новосущевская ул.», улица Сущёвский Вал (в центр)",улица Сущёвский Вал
"«Керамический пр.», Дубнинская улица (в центр)",Дубнинская улица
"«Ин-т Стали», Дубнинская улица (в центр)",Дубнинская улица
"«Мкр. Дубки», Дубнинская улица (в центр)",Дубнинская улица
"«Д/к Юность», Дубнинская улица (в центр)",Дубнинская улица
"«Баскетбольная школа», улица 800-летия Москвы (в центр)",улица 800-летия Москвы
"«ВИСХОМ», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Бескудниково», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Селигерская ул.», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«К/т Ереван», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Ильменский пр.», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Ин-т Цветметавтоматика», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«7-й автобусный парк», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Нижн. Лихоборы», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Метро Петровско-Разумовская», Локомотивный проезд (от центра)",Локомотивный проезд
"«К/т Байкал», Большая Академическая улица (в центр)",Большая Академическая улица
"«Стадион Наука», Большая Академическая улица (в центр)",Большая Академическая улица
"«Управа района Коптево», улица Зои и Александра Космодемьянских (в центр)",улица Зои и Александра Космодемьянских
"«К/т Рассвет - Техникум», улица Зои и Александра Космодемьянских (в центр) (1)",улица Зои и Александра Космодемьянских
"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (в центр) (1)",улица Зои и Александра Космодемьянских
"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских ( (от центра))(от центра)",улица Зои и Александра Космодемьянских
"«К/т Рассвет - Техникум», улица Зои и Александра Космодемьянских (от центра)",улица Зои и Александра Космодемьянских
"«Управа района Коптево», улица Зои и Александра Космодемьянских (от центра)",улица Зои и Александра Космодемьянских
"«Стадион Наука», Большая Академическая улица (от центра)",Большая Академическая улица
"«7-й автобусный парк», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«Ин-т Цветметавтоматика», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«Ильменский пр.», Дмитровское шоссе (от центра)",Дмитровское шоссе
"«К/т Ереван», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«Селигерская ул.», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«Селигерская ул.», Коровинское шоссе (в центр)",Коровинское шоссе
"«К/т Комсомолец», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Педагогический колледж», Большая Академическая улица (в центр)",Большая Академическая улица
"«Университет Природообустройства», Большая Академическая улица (в центр)",Большая Академическая улица
"«Роддом № 27», Большая Академическая улица (в центр)",Большая Академическая улица
"«Роддом № 27», Большая Академическая улица (от центра)",Большая Академическая улица
"«Университет Природообустройства», Большая Академическая улица (от центра)",Большая Академическая улица
"«Педагогический колледж», Большая Академическая улица (от центра)",Большая Академическая улица
"«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (2)",Локомотивный проезд
"«Дербеневская наб.», 3-й Дербеневский переулок (от центра)",3-й Дербеневский переулок
"«Ф-ка игрушек», улица Клары Цеткин (в центр)",улица Клары Цеткин
"«Старопетровский пр.», Старопетровский проезд (в центр)",Старопетровский проезд
"«Онкологический диспансер», Старопетровский проезд (в центр)",Старопетровский проезд
"«Коровинское ш.», Коровинское шоссе (в центр)",Коровинское шоссе
"«Талдомская ул.», улица 800-летия Москвы (от центра)",улица 800-летия Москвы
"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Муз. школа», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1)",Локомотивный проезд
"«Детский сад», Нарвская улица (в центр)",Нарвская улица
"«3-й Лихачевский пер.», 3-й Лихачёвский переулок (от центра)",3-й Лихачёвский переулок
"«Протезный з-д», Коровинское шоссе (от центра)",Коровинское шоссе
"«Талдомская ул.», Коровинское шоссе (от центра)",Коровинское шоссе
"«Ангарская ул.», Ангарская улица (от центра)",Ангарская улица
"«Ангарская ул., 49», Ангарская улица (от центра)",Ангарская улица
"«Храм Матроны Московской», Ангарская улица (от центра)",Ангарская улица
"«Клязьминская ул.», Ангарская улица (от центра)",Ангарская улица
"«Учебный центр», Клязьминская улица (в центр)",Клязьминская улица
"«Школа им. Марш. Говорова», Смольная улица (от центра) (1)",Смольная улица
"«Смольная ул., 45», Смольная улица (от центра)",Смольная улица
"«Муз. школа», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Коровинское ш.», Коровинское шоссе (от центра)",Коровинское шоссе
"«К/т Комсомолец», Дмитровское шоссе (от центра) (3)",Дмитровское шоссе
"«Нижн. Лихоборы», Дмитровское шоссе (от центра) (1)",Дмитровское шоссе
"«7-й автобусный парк», Дмитровское шоссе (от центра) (2)",Дмитровское шоссе
"«Торговый центр», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Бескудниковский пер.», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Рогачевский пер.», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Школа № 656», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Аптека», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Бескудниково», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«Кронштадтский бульв.», Кронштадтский бульвар (от центра)",Кронштадтский бульвар
"«Школа № 157», Кронштадтский бульвар (от центра)",Кронштадтский бульвар
"«Нарвская ул. - Университет Гражданской Авиации», Нарвская улица (от центра)",Нарвская улица
"«Колледж № 7», Клязьминская улица (в центр)",Клязьминская улица
"«Ангарская ул.», Ангарская улица (в центр)",Ангарская улица
"«Мкр. Западное Дегунино», Ангарская улица (в центр)",Ангарская улица
"«Весенняя ул.», Ангарская улица (в центр)",Ангарская улица
"«Ст. Ховрино (выс.)», Ангарская улица (в центр)",Ангарская улица
"«Онкологический диспансер», Старопетровский проезд (от центра)",Старопетровский проезд
"«Старопетровский пр.», Старопетровский проезд (от центра)",Старопетровский проезд
"«Ф-ка игрушек», улица Клары Цеткин (от центра)",улица Клары Цеткин
"«Диспансер», Михалковская улица (в центр)",Михалковская улица
"«Электромеханический колледж», Михалковская улица (в центр)",Михалковская улица
"«Ф-ка им. Петра Алексеева», Михалковская улица (в центр)",Михалковская улица
"«Комплекс Метростроя», Коровинское шоссе (от центра)",Коровинское шоссе
"«Селигерская ул.», Коровинское шоссе (от центра)",Коровинское шоссе
"«Ин-т Микрохирургии глаза», Коровинское шоссе (от центра) (1)",Коровинское шоссе
"«Локомотивное депо Лихоборы», Михалковская улица (в центр)",Михалковская улица
"«Онежская ул. - Колледж», Онежская улица (от центра)",Онежская улица
"«3-й Лихачевский пер.», Онежская улица (от центра)",Онежская улица
"«Онежская ул., 19», Онежская улица (от центра)",Онежская улица
"«Солнечногорская ул.», Онежская улица (от центра)",Онежская улица
"«Флотская ул.», Онежская улица (от центра) (1)",Онежская улица
"«Фестивальная ул.», Петрозаводская улица (от центра)",Петрозаводская улица
"«М-н Книги», Петрозаводская улица (от центра)",Петрозаводская улица
"«Аптека», Петрозаводская улица (от центра)",Петрозаводская улица
"«Петрозаводская ул.», Петрозаводская улица (от центра) (1)",Петрозаводская улица
"«15-й таксомоторный парк», Беломорская улица (в центр)",Беломорская улица
"«Экономический университет», Смольная улица (в центр)",Смольная улица
"«Смольная ул., 45», Смольная улица (в центр)",Смольная улица
"«Школа им. Марш. Говорова», Смольная улица (в центр)",Смольная улица
"«Смольная ул.», Фестивальная улица (в центр)",Фестивальная улица
"«Автокомбинат № 3», 3-й Нижнелихоборский проезд (в центр)",3-й Нижнелихоборский проезд
"«Учебный центр», Клязьминская улица (от центра)",Клязьминская улица
"«Клязьминская ул.», Ангарская улица (в центр)",Ангарская улица
"«Храм Матроны Московской», Ангарская улица (в центр)",Ангарская улица
"«Ангарская ул., 49», Ангарская улица (в центр)",Ангарская улица
"«Ангарская ул.», Коровинское шоссе (в центр)",Коровинское шоссе
"«Аптека», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Школа № 656», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Рогачевский пер.», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Бескудниковский пер.», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Торговый центр», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Роддом № 27», Коптевский бульвар (от центра)",Коптевский бульвар
"«Коптевский рынок», Коптевский бульвар (от центра)",Коптевский бульвар
"«Коптевская ул.», Коптевская улица (в центр)",Коптевская улица
"«Коптевская ул.», Коптевская улица (от центра)",Коптевская улица
"«Коптевский рынок», Коптевский бульвар (в центр) (1)",Коптевский бульвар
"«Роддом № 27», Коптевский бульвар (в центр) (1)",Коптевский бульвар
"«15-й таксомоторный парк», Петрозаводская улица (в центр)",Петрозаводская улица
"«Петрозаводская ул.», Петрозаводская улица (в центр)",Петрозаводская улица
"«Аптека», Петрозаводская улица (в центр)",Петрозаводская улица
"«М-н Книги», Петрозаводская улица (в центр)",Петрозаводская улица
"«Фестивальная ул.», Онежская улица (в центр)",Онежская улица
"«Флотская ул.», Онежская улица (в центр)",Онежская улица
"«Солнечногорская ул.», Онежская улица (в центр)",Онежская улица
"«Онежская ул., 19», Онежская улица (в центр)",Онежская улица
"«Онежская ул. - Колледж», Онежская улица (в центр)",Онежская улица
"«Локомотивное депо Лихоборы», Михалковская улица (от центра)",Михалковская улица
"«Ф-ка им. Петра Алексеева», Михалковская улица (от центра)",Михалковская улица
"«Электромеханический колледж», Михалковская улица (от центра)",Михалковская улица
"«База механизации», 4-й Лихачёвский переулок (от центра)",4-й Лихачёвский переулок
"«Лихоборская наб. - Хим-тех. з-д», Лихоборская набережная (в центр)",Лихоборская набережная
"«Автомоторная ул.», Автомоторная улица (в центр)",Автомоторная улица
"«НАМИ (выс.)», Автомоторная улица (от центра)",Автомоторная улица
"«Кадетский корпус полиции», 4-й Новомихалковский проезд (в центр)",4-й Новомихалковский проезд
"«Митинская ул., 48», Митинская улица (в центр)",Митинская улица
"«4-й Новомихалковский пр. - Поликлиника № 159», 4-й Новомихалковский проезд (от центра) (1)",4-й Новомихалковский проезд
"«Кадетский корпус полиции», 4-й Новомихалковский проезд (от центра)",4-й Новомихалковский проезд
"«НАМИ», Автомоторная улица (от центра)",Автомоторная улица
"«Автомоторная ул.», Автомоторная улица (от центра)",Автомоторная улица
"«Лихоборская наб. - Хим-тех. з-д», Лихоборская набережная (от центра)",Лихоборская набережная
"«База механизации», 4-й Лихачёвский переулок (в центр)",4-й Лихачёвский переулок
"«Диспансер», Нарвская улица (от центра)",Нарвская улица
"«Детский сад», Нарвская улица (от центра)",Нарвская улица
"«Школа № 157», Лихоборская набережная (в центр)",Лихоборская набережная
"«Кронштадтский бульв.», Лихоборская набережная (в центр)",Лихоборская набережная
"«15-й таксомоторный парк», улица Дыбенко (от центра)",улица Дыбенко
"«19-й квартал», улица Дыбенко (от центра)",улица Дыбенко
"«Интернат», Смольная улица (в центр)",Смольная улица
"«11-й автобусный парк - Киностудия», Смольная улица (в центр)",Смольная улица
"«Смольная ул., 61», Смольная улица (в центр)",Смольная улица
"«Поликлиника», Смольная улица (в центр)",Смольная улица
"«Смольная ул.», Фестивальная улица (от центра)",Фестивальная улица
"«Фестивальная ул., 14», Фестивальная улица (от центра)",Фестивальная улица
"«Фестивальная ул., 65», Фестивальная улица (от центра)",Фестивальная улица
"«Фестивальная ул.», Фестивальная улица (в центр)",Фестивальная улица
"«Фестивальная ул., 14», Фестивальная улица (в центр)",Фестивальная улица
"«Поликлиника», Смольная улица (от центра)",Смольная улица
"«Смольная ул., 61», Смольная улица (от центра)",Смольная улица
"«11-й автобусный парк - Киностудия», Смольная улица (от центра)",Смольная улица
"«19-й квартал», улица Дыбенко (в центр)",улица Дыбенко
"«Фестивальная ул.», Фестивальная улица (от центра)",Фестивальная улица
"«Сенежская ул. - Диабетический центр», Флотская улица (от центра)",Флотская улица
"«Солнечногорская ул.», Солнечногорская улица (в центр)",Солнечногорская улица
"«Флотская ул.», Флотская улица (в центр)",Флотская улица
"«Зеленоградская ул., 21», Зеленоградская улица (от центра)",Зеленоградская улица
"«Универмаг», Зеленоградская улица (от центра)",Зеленоградская улица
"«Зеленоградская ул., 39», Зеленоградская улица (от центра)",Зеленоградская улица
"«Зеленоградская ул., 39», Зеленоградская улица (в центр)",Зеленоградская улица
"«Универмаг», Зеленоградская улица (в центр)",Зеленоградская улица
"«Зеленоградская ул., 21», Зеленоградская улица (в центр)",Зеленоградская улица
"«Б-ца - Библиотека им. Короленко», Фестивальная улица (в центр)",Фестивальная улица
"«Фестивальная ул., 65», Фестивальная улица (в центр)",Фестивальная улица
"«1-й Пехотный пер.», улица Академика Курчатова (в центр)",улица Академика Курчатова
"«Сосновая ул.», Сосновая улица (в центр)",Сосновая улица
"«Детский сад», Пехотная улица (от центра)",Пехотная улица
"«1-й Волоколамский пр.», 1-й Волоколамский проезд (в центр)",1-й Волоколамский проезд
"«Почта», 1-й Волоколамский проезд (в центр)",1-й Волоколамский проезд
"«2-й Балтийский пер.», улица Усиевича (в центр)",улица Усиевича
"«Ленинградский рынок - К/т Баку», улица Усиевича (в центр)",улица Усиевича
"«4-я ул. 8-го Марта», Планетная улица (в центр)",Планетная улица
"«1-я ул. 8-го Марта», Планетная улица (в центр)",Планетная улица
"«Поликлиника», Флотская улица (в центр)",Флотская улица
"«Смольная ул.», Флотская улица (в центр)",Флотская улица
"«Пулковская ул.», Авангардная улица (в центр) (1)",Авангардная улица
"«Петровско-Разумовская аллея», Петровско-Разумовская аллея (в центр) (1)",Петровско-Разумовская аллея
"«1-я ул. 8-го Марта», Планетная улица (от центра) (1)",Планетная улица
"«4-я ул. 8-го Марта», Планетная улица (от центра)",Планетная улица
"«Ленинградский рынок - К/т Баку», Часовая улица (от центра)",Часовая улица
"«Университет Путей сообщения», Часовая улица (от центра)",Часовая улица
"«1-й Балтийский пер.», Часовая улица (от центра)",Часовая улица
"«Почта», 1-й Волоколамский проезд (от центра)",1-й Волоколамский проезд
"«1-й Волоколамский пр.», 1-й Волоколамский проезд (от центра)",1-й Волоколамский проезд
"«2-й Пехотный пер.», 2-й Пехотный переулок (от центра)",2-й Пехотный переулок
"«52-я гор. б-ца», Пехотная улица (в центр)",Пехотная улица
"«Детский сад», Сосновая улица (от центра)",Сосновая улица
"«Сосновая ул.», Сосновая улица (от центра)",Сосновая улица
"«1-й Пехотный пер.», улица Академика Курчатова (от центра)",улица Академика Курчатова
"«Пулковская ул.», Авангардная улица (от центра)",Авангардная улица
"«Флотская ул., 36», Флотская улица (от центра)",Флотская улица
"«Поликлиника», Флотская улица (от центра)",Флотская улица
"«Школа № 648», Флотская улица (от центра)",Флотская улица
"«Флотская ул.», Флотская улица (от центра)",Флотская улица
"«Солнечногорская ул.», Солнечногорская улица (от центра)",Солнечногорская улица
"«Сенежская ул.,1 - Торговое училище», Сенежская улица (от центра)",Сенежская улица
"«Ин-т Цветметавтоматика», Бескудниковский бульвар (в центр)",Бескудниковский бульвар
"«Ин-т Цветметавтоматика», Бескудниковский бульвар (от центра)",Бескудниковский бульвар
"«3-й Лихачевский пер.», Онежская улица (в центр)",Онежская улица
"«Нарвская ул. - Университет Гражданской Авиации», Лихоборская набережная (от центра)",Лихоборская набережная
"«Акад. Туризма», Лихоборская набережная (от центра)",Лихоборская набережная
"«Лихоборская наб.», Лихоборская набережная (от центра)",Лихоборская набережная
"«Солнечногорская ул.,15 - Торговое училище», Солнечногорская улица (от центра)",Солнечногорская улица
"«Солнечногорская ул.,15 - Торговое училище», Солнечногорская улица (в центр)",Солнечногорская улица
"«Лихоборская наб.», Лихоборская набережная (в центр)",Лихоборская набережная
"«Акад. Туризма», Лихоборская набережная (в центр)",Лихоборская набережная
"«Нарвская ул. - Университет Гражданской Авиации», Лихоборская набережная (в центр)",Лихоборская набережная
"«Пр. Черепановых», Михалковская улица (в центр) (1)",Михалковская улица
"«Соболевский пр.», Михалковская улица (в центр)",Михалковская улица
"«К/т Байкал», улица Прянишникова (от центра)",улица Прянишникова
"«Университет Печати», улица Прянишникова (от центра) (1)",улица Прянишникова
"«Тимирязевская академия», Тимирязевская улица (в центр) (1)",Тимирязевская улица
"«Пасечная ул.», Тимирязевская улица (в центр)",Тимирязевская улица
"«Парк Дубки», Тимирязевская улица (в центр)",Тимирязевская улица
"«50-я гор. б-ца», улица Вучетича (в центр)",улица Вучетича
"«Пр. Соломенной Сторожки», улица Вучетича (в центр)",улица Вучетича
"«Дмитровский пр.», Тимирязевская улица (в центр)",Тимирязевская улица
"«Всероссийское Общество Слепых», 2-я Хуторская улица (от центра)",2-я Хуторская улица
"«2-я Хуторская ул.», Петровско-Разумовский проезд (в центр)",Петровско-Разумовский проезд
"«Писцовая ул.», Петровско-Разумовский проезд (в центр) (1)",Петровско-Разумовский проезд
"«Петровско-Разумовский пр.», Петровско-Разумовский проезд (в центр)",Петровско-Разумовский проезд
"«Петровско-Разумовский пр.», Петровско-Разумовский проезд (от центра)",Петровско-Разумовский проезд
"«Писцовая ул.», Петровско-Разумовский проезд (от центра)",Петровско-Разумовский проезд
"«2-я Хуторская ул.», Петровско-Разумовский проезд (от центра)",Петровско-Разумовский проезд
"«Всероссийское Общество Слепых», 2-я Хуторская улица (в центр)",2-я Хуторская улица
"«Дмитровский пр.», Тимирязевская улица (от центра)",Тимирязевская улица
"«50-я гор. б-ца», улица Вучетича (от центра)",улица Вучетича
"«Парк Дубки», Тимирязевская улица (от центра)",Тимирязевская улица
"«Красностуденческий пр.», Тимирязевская улица (от центра)",Тимирязевская улица
"«Пасечная ул.», Тимирязевская улица (от центра) (2)",Тимирязевская улица
"«Тимирязевская академия», Тимирязевская улица (от центра) (1)",Тимирязевская улица
"«Университет Печати», улица Прянишникова (в центр) (1)",улица Прянишникова
"«К/т Байкал», Михалковская улица (от центра) (1)",Михалковская улица
"«Рыбокомбинат», Ижорская улица (от центра)",Ижорская улица
"«Ижорская ул.», Ижорская улица (от центра)",Ижорская улица
"«15-й таксомоторный парк», улица Лавочкина (в центр)",улица Лавочкина
"«К/т Волга - Дом мебели 777», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Селигерская ул.», Дмитровское шоссе (в центр) (1)",Дмитровское шоссе
"«7-й автобусный парк», Дмитровское шоссе (от центра) (4)",Дмитровское шоссе
"«Нижн. Лихоборы», Дмитровское шоссе (от центра) (4)",Дмитровское шоссе
"«434-е отделение связи», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Ул. Всеволода Вишневского», Дмитровское шоссе (в центр)",Дмитровское шоссе
"«Метро Дмитровская», Бутырская улица (в центр)",Бутырская улица
"«Троллейбусный з-д», Бутырская улица (в центр)",Бутырская улица
"«Бутырская ул., 46», Бутырская улица (в центр)",Бутырская улица
"«Савеловский вокз.», Бутырская улица (в центр) (1)",Бутырская улица
"«2-й Лесной пер.», улица Бутырский Вал (от центра)",улица Бутырский Вал
"«Ул. Сущевский Вал», Новослободская улица (от центра)",Новослободская улица
"«Савеловский вокз.», Бутырская улица (от центра) (1)",Бутырская улица
"«Троллейбусный з-д», Бутырская улица (от центра) (1)",Бутырская улица
